"","id","zip","x","y"
"11627",11628,"10314",-74.1599291,40.5840002
"11628",11629,"10308",-74.15063994,40.5645548
"11629",11630,"10306",-74.10600777,40.57414013
"11630",11631,"10310",-74.12166291,40.63750202
"11631",11632,"10301",-74.07674709,40.64075492
"11632",11633,"10302",-74.13310242,40.63736583
"11633",11634,"10314",-74.15849056,40.60891951
"11634",11635,"10301",-74.08612185,40.64005385
"11635",11636,"10314",-74.15873944,40.59544219
"11636",11637,"10314",-74.1599291,40.5840002
"11637",11638,"10301",-74.08405125,40.64104899
"11638",11639,"10310",-74.1165026,40.64122381
"11639",11640,"10314",-74.1599291,40.5840002
"11640",11641,"10306",-74.115683,40.56752678
"11641",11642,"10306",-74.115683,40.56752678
"11642",11643,"10306",-74.115683,40.56752678
"11643",11644,"10309",-74.20988619,40.54643935
"11644",11645,"10306",-74.115683,40.56752678
"11645",11646,"10307",-74.24241324,40.51060198
"11646",11647,"10306",-74.14619287,40.58660685
"11647",11648,"10307",-74.24241324,40.51060198
"11648",11649,"10312",-74.16608701,40.52672915
"11649",11650,"10308",-74.15057521,40.55180523
"11650",11651,"10309",-74.22011763,40.54480899
"11651",11652,"10304",-74.09150196,40.60101598
"11652",11653,"10303",-74.16656084,40.6273751
"11653",11654,"10304",-74.08197986,40.62384889
"11654",11655,"10303",-74.14398353,40.63060877
"11655",11656,"10308",-74.14529576,40.55157049
"11656",11657,"10304",-74.08344215,40.63228258
"11657",11658,"10306",-74.12242299,40.56866987
"11658",11659,"10304",-74.08344215,40.63228258
"11659",11660,"10304",-74.07435117,40.62803714
"11660",11661,"10302",-74.1315912,40.63841883
"11661",11662,"10304",-74.07451407,40.62874245
"11662",11663,"10304",-74.0859312,40.61232336
"11663",11664,"10301",-74.07703272,40.64472094
"11664",11665,"10306",-74.12242299,40.56866987
"11665",11666,"10306",-74.11622057,40.56205584
"11666",11667,"10309",-74.21350308,40.55567449
"11667",11668,"10302",-74.13470815,40.63675462
"11668",11669,"10302",-74.13513334,40.63676784
"11669",11670,"10305",-74.07051478,40.61472182
"11670",11671,"10305",-74.0695193,40.60303234
"11671",11672,"10307",-74.23853624,40.50146433
"11672",11673,"10306",-74.13500385,40.56029783
"11673",11674,"10307",-74.23853624,40.50146433
